location_label,description,charger_href,charger_type,lat,lon
Club de Golf Bellavista,"Av Valle Verde 52 Club de Golf Bellavista, Ciudad Lopez Mateos, MEX 52995",https://www.tesla.com/findus/location/charger/dc22214,super_charger,19.5254973,-99.2452519
Cosmopol,"San Francisco Coacalco Bosques del Valle, Coacalco de Berriozabal, MEX 55700",https://www.tesla.com/findus/location/charger/dc61805,super_charger,19.6515833,-99.1189588
Espacio Interlomas,"Avenida Jesus del Monte 37 Jesus del Monte, Huixquilucan, MEX 52764",https://www.tesla.com/findus/location/charger/dc61793,super_charger,19.3950719,-99.2891633
Fiesta Inn Loft Irapuato,"Paseo del Atardecer 152 Villas de Irapuato, Irapuato, GUA 36670",https://www.tesla.com/findus/location/charger/dc20708,super_charger,20.6844293,-101.4139105
Hampton Inn Irapuato,"Boulevard Lazaro Cardenas 4210 Residencial Campestre, Irapuato, GUA 36698",https://www.tesla.com/findus/location/charger/dc27055,super_charger,20.6773994,-101.367821
Rosewood San Miguel de Allende Mexico,"Calle Nemesio Diez #11 Zona Centro, San Miguel de Allende, GUA 37700",https://www.tesla.com/findus/location/charger/dc17017,super_charger,20.909345,-100.7448734
Hotel One Acapulco,"Av. Costera Miguel Aleman 16 Costa Azul, Acapulco, GRO 39850",https://www.tesla.com/findus/location/charger/dc17994,super_charger,16.8542956,-99.8569364
Centro Comercial Plaza del Sol,"Av Lopez Mateos Sur 2375 Ciudad del Sol, Zapopan, JAL 45050",https://www.tesla.com/findus/location/charger/dc26323,super_charger,20.6495422,-103.4025252
City Express Plus Guadalajara Expo,"Avenida Mariano Otero 1390 Rinconada del Sol, Guadalajara, JAL 45055",https://www.tesla.com/findus/location/charger/dc28570,super_charger,20.6504345,-103.3992231
Club Privado San Javier,"Paseo de Las Penas 3500 Colinas de San Javier, Guadalajara, JAL 44460",https://www.tesla.com/findus/location/charger/dc19429,super_charger,20.703772,-103.3973104
Expo Guadalajara,"Av. Mariano Otero 1499 Verde Valle, Guadalajara, JAL 44550",https://www.tesla.com/findus/location/charger/dc19555,super_charger,20.6530146,-103.3950168
Grand Fiesta Americana Guadalajara Country Club,"Avenida de las Americas 1551 Providencia, Guadalajara, JAL 44630",https://www.tesla.com/findus/location/charger/dc18532,super_charger,20.6997779,-103.3750077
Holiday Inn Express Guadalajara Expo,"Av Mariano Otero 2397 Victoria, Guadalajara, JAL 45089",https://www.tesla.com/findus/location/charger/dc38869,super_charger,20.6529604,-103.3953307
Hotel Baruk Guadalajara,"Calzada Lazaro Cardenas 3447 Chapalita, Guadalajara, JAL 44500",https://www.tesla.com/findus/location/charger/dc33045,super_charger,20.6649786,-103.394341
Patio La Cima,"Av. Juan Gil Preciado 1544 Arcos de Zapopan, Zapopan, JAL 45130",https://www.tesla.com/findus/location/charger/dc38517,super_charger,20.7386244,-103.4046623
Punto Sao Paolo,"Av. de las Americas 1545 Providencia, Guadalajara, JAL 44630",https://www.tesla.com/findus/location/charger/dc48700,super_charger,20.7021619,-103.3760195
The Westin Resort & Spa Puerto Vallarta,"Paseo de La Marina Sur 205 Marina Vallarta, Puerto Vallarta, JAL 48354",https://www.tesla.com/findus/location/charger/dc19071,super_charger,20.6573352,-105.2491337
V├¡a Libertad,"Calle Colonias 221 Americana, Guadalajara, JAL 44160",https://www.tesla.com/findus/location/charger/dc24470,super_charger,20.6725853,-103.3658723
Westin Gualajara,"2911 Avenida de Las Rosas Rinconada del Bosque, Guadalajara, JAL 44530",https://www.tesla.com/findus/location/charger/dc17439,super_charger,20.6532711,-103.3893645
WTC Guadalajara,"Avenida Mariano Otero 1249 Rinconada del Bosque, Verde Valle, Guadalajara, JAL 44530",https://www.tesla.com/findus/location/charger/dc32759,super_charger,20.6530146,-103.3950168
Park Royal Beach Acapulco,"110 Costera Guitarrón, Acapulco de Juárez, Guerrero 39880",https://www.tesla.com/findus/location/charger/476554,super_charger,16.832855,-99.8550816
